Locality,Name,Owner_Applicant,Street_Address,Year Operational,Acres,Building_Sq_Ft,MW_reported,MW estimated,MWh per day,Gallons per day,dB from 100ft,Construction_Type,Build_Status,Lat,Long
Loudoun County,DCT DULLES DOWNS Land Bay B,DCT DULLES DOWNS LLC,45220 PROLOGIS PLZ,2019,19.39,143563,38.76201,38.76201,744.230592,353927.3621,55,Complete,Existing,38.99013715,-77.437293
Loudoun County,22370 KIPPER DR AWS,Amazon Data Services Inc,22370 KIPPER DR,2022,14.36,"203,460",54.9342,54.9342,1054.73664,501592.0613,55,Complete,Existing,38.99696471,-77.435807
Loudoun County,IAD214,Amazon Data Services Inc,22760 PACIFIC BLV,2023,17.09,226456,2.2,61.14312,42.24,20087.71466,55,Complete,Existing,38.98673089,-77.435578
Loudoun County,22350 KIPPER DR AWS,Amazon Data Services Inc,22350 KIPPER DR,2022,10.65,"203,460",54.9342,54.9342,1054.73664,501592.0613,55,Complete,Existing,38.99508858,-77.43511
Loudoun County,DIGITAL STERLING PREMIER,DIGITAL STERLING PREMIER LLC,22574 PACIFIC BLVD,2023,13.8,"258,252",69.72804,69.72804,1338.778368,636671.3507,55,Complete,Existing,38.99003896,-77.434674
Loudoun County,IAD03,ALIGNED ENERGY DATA CENTERS ASHBURN LLC,22580 RELOCATION DR,2021,12.89,"180,355",72,48.69585,1382.4,657416.1162,55,Complete,Existing,38.99307681,-77.434115
Loudoun County,DC 21/IAD 98,BCORE COPT DC-21 LLC,45305 W SEVERN WAY,2023,24.36,"296,380",30,80.0226,576,273923.3818,55,Complete,Existing,39.01945652,-77.434002
Loudoun County,Vantage V2 Campus 22318 Glenn Drive,VANTAGE DATA CENTERS VA2 LLC,22435 GLENN DR,2022,18.44,"565,680",60,152.7336,1152,547846.7635,55,Complete,Existing,38.99797264,-77.43019
Loudoun County,22945 INTERNATIONAL DR AWS,Amazon Data Services Inc,22945 INTERNATIONAL DR,2021,17.41,"147,900",20,39.933,384,182615.5878,55,Complete,Existing,38.98215669,-77.427514
Loudoun County,NV-4 CYRUSONE LLC,C1 NORTHERN VIRGINIA - STERLING IV LLC,22811 INTERNATIONAL DR,2021,9.95,"128,500",13,34.695,249.6,118700.1321,55,Complete,Existing,38.98468471,-77.425815
Loudoun County,23005 INTERNATIONAL DR,DULLES NCP II LLC,23005 INTERNATIONAL DR,2019,8.3,"169,960",40,45.8892,768,365231.1757,55,Complete,Existing,38.97999809,-77.425622
Loudoun County,DULLES NCP LLC,DULLES NCP LLC,22916 INTERNATIONAL DR,2019,13,"203,200",24,54.864,460.8,219138.7054,55,Complete,Existing,38.98239872,-77.424852
Loudoun County,IAD2 Evoque Cyxtera,22810-22860 INTERNATIONAL DRIVE LLC,22810 INTERNATIONAL DR,2019,12.15,"118,541",16.6,32.00607,318.72,151570.9379,55,Complete,Existing,38.98419476,-77.424019
Loudoun County,WATERSIDE AWS,WATERSIDE I LLC,22900 PLATFORM PLZ,2023,73.9,"976,046",45,263.53242,864,410885.0727,55,Complete,Existing,38.98124896,-77.417931
Loudoun County,CPUS STERLING LP,CPUS STERLING LP,45900 PATHFINDER PLZ,2023,33.04,"441,780",36,119.2806,691.2,328708.0581,55,Complete,Existing,38.98774634,-77.410862
Loudoun County,1304 SQUIRE CT,ELECTRIC BUILDING LLC,1304 SQUIRE CT,2025,2.82,"36,000",10,9.72,192,91307.79392,55,Complete,Existing,39.02152866,-77.434758
Loudoun County,NVA06 Campus,STACK INFRASTRUCTURE,19265 COMPASS CREEK PKWY,2925,8.9,388150,24,104.8005,460.8,219138.7054,55,Complete,Existing,39.08022813,-77.564728
Loudoun County,NVA06 Campus,STACK INFRASTRUCTURE,19275 COMPASS CREEK PKWY SE,2025,5.35,232886,48,62.87922,921.6,438277.4108,55,Complete,Existing,39.08262667,-77.565232
Loudoun County,IAD 01-04,MICROSOFT CORP,19540 COMPASS CREEK PKWY,2021,323.38,"809,314",180,218.51478,3456,1643540.291,55,Complete,Existing,39.06785528,-77.560212
Loudoun County,HAYDEN TECHNOLOGIES,HAYDEN TECHNOLOGIES LLC,20491 GOOSE LANDING LN,2021,119.07,"563,584",120,152.16768,2304,1095693.527,55,"Operating, Expanding",Existing,39.05171448,-77.539561
Loudoun County,Project Celtic Phase 1,Google,20680 CELTIC PARK DR,2021,145.02,"743,608",100,200.77416,1920,913077.9392,55,"Operating, Expanding",Existing,39.05691354,-77.546632
Loudoun County,BEAUMEADE LC PHASE III LLC,BEAUMEADE LC PHASE III LLC,20935 LOUDOUN COUNTY PKWY,2019,10.12,"147,600",15,39.852,288,136961.6909,55,Complete,Existing,39.0363794,-77.449789
Loudoun County,IAD114,BEAUMEADE LC PHASE III LLC,20945 LOUDOUN COUNTY PKWY,2020,10.7,"147,600",30,39.852,576,273923.3818,55,Complete,Existing,39.03563056,-77.450937
Loudoun County,CYXTERA COLOCATION,MEDINA DC 2 ASSETS LLC,21110 RIDGETOP CIR,2018,8.49,"135,500",30,36.585,576,273923.3818,55,Complete,Existing,39.0248014,-77.412335
Loudoun County,C1 NORTHERN VA - STERLING I-III,CyrusOne,21111 Ridgetop,2017,14.34,"420,000",48,113.4,921.6,438277.4108,55,Complete,Existing,39.02606689,-77.414536
Loudoun County,MECP3 ASHBURN 3 LLC,MECP3 ASHBURN 3 LLC,21195 ATLANTIC BLVD,2019,5.9393,258716,40,69.85332,768,365231.1757,55,Complete,Existing,39.03234833,-77.429911
Loudoun County,MECP2 ASHBURN 2 LLC,MECP2 ASHBURN 2 LLC,21205 ATLANTIC BLVD,2019,5.9393,258716,40,69.85332,768,365231.1757,55,Complete,Existing,39.03041241,-77.429013
Loudoun County,MECP1 ASHBURN 1 LLC,MECP1 ASHBURN 1 LLC,21215 ATLANTIC BLVD,2019,5.9393,258716,40,69.85332,768,365231.1757,55,Complete,Existing,39.02848589,-77.427685
Loudoun County,DC 8 9 10 DE,DC 8 9 10 DE LLC,21271 SMITH SWITCH RD,2018,34.74,"429,711",30,116.02197,576,273923.3818,55,Complete,Existing,39.02907864,-77.458964
Loudoun County,"STERLING VI, V",Cyrus One,21340 PACIFIC BLVD,2018,27.05,1178308,135,318.14316,2592,1232655.218,55,Complete,Existing,39.02434941,-77.434105
Loudoun County,21551 BEAUMEADE CIR,BEAUMEADE TECHNOLOGY PARTNERS LLC,21551 BEAUMEADE CIR,2022,10.73,"152,400",10,41.148,192,91307.79392,55,Complete,Existing,39.02088482,-77.451141
Loudoun County,MONTEREY DC ASSETS,MONTEREY DC ASSETS LLC,21571 BEAUMEADE CIR,2023,14.15,"164,455",10,44.40285,192,91307.79392,55,Complete,Existing,39.02194221,-77.45329
Loudoun County,PROLOGIS-EXCHANGE 43461 OLD OX ROAD,PROLOGIS-EXCHANGE 43461 OLD OX ROAD LLC,23845 ERINS RUN DR,2025,37.53,474570,40,128.1339,768,365231.1757,55,"Operating, Expanding",Existing,38.95745135,-77.497678
Loudoun County,ALLEGRO SOUTH CAMPUS,YONDR JK 2 LLC,24171 YOUNGWOOD LN,2024,34.16,"335,638",90,90.62226,1728,821770.1453,55,Complete,Existing,38.94984278,-77.549138
Loudoun County,Quail Ridge C - D,Amazon Data Services Inc,24214 QUAIL RIDGE LN,2025,33.26,"505,200",30,136.404,576,273923.3818,55,Complete,Existing,38.94839095,-77.558836
Loudoun County,24244 QUAIL RIDGE LN,Amazon Data Services Inc,24244 QUAIL RIDGE LN,2021,23.47,"412,400",30,111.348,576,273923.3818,55,Complete,Existing,38.94905003,-77.560436
Loudoun County,WHEELER SURVEY COMPANY,WHEELER SURVEY COMPANY LLC,24400 HOWLING ROOSTER LN,2006,135.31,538565,5,145.41255,96,45653.89696,55,"Operating, Expanding",Existing,38.94236155,-77.528644
Loudoun County,AWS IAD61-IAD63 South Riding,Amazon Data Services Inc,25316 PREDICTION LN,2019,48.2,"778,426",90,210.17502,1728,821770.1453,55,Complete,Existing,38.91676919,-77.493796
Loudoun County,AWS H&M Property,Amazon Data Services Inc,25500 MEADOWDALE DR,2020,82.17,274000,30,73.98,576,273923.3818,55,"Operating, Expanding",Existing,38.92110773,-77.486299
Loudoun County,Sutton Bay,Amazon Data Services Inc,25800 SUTTON BAY PLZ,2020,43.41,"508,000",30,137.16,576,273923.3818,55,Complete,Existing,38.91631015,-77.478342
Loudoun County,IAD11,MICROSOFT CORP,41840 GROWTH MINDSET LN,2024,64.76,"759,405",48,205.03935,921.6,438277.4108,55,Complete,Existing,38.94816566,-77.555382
Loudoun County,COMPASS DATACENTERS IAD I,COMPASS DATACENTERS IAD I LLC,42247 THUNDERBALL DR,2019,97.12,551029,75,148.77783,1440,684808.4544,55,Complete,Existing,39.0438211,-77.537601
Loudoun County,Fadeley Campus,Amazon Data Services Inc,42949 FADELEY LN,2023,63.54,"695,321",90,187.73667,1728,821770.1453,55,Complete,Existing,38.94895567,-77.521476
Loudoun County,NV-9 CYRUSONE,C1 NORTHERN VIRGINIA - STERLING IX LLC,43290 OLD OX RD,2021,39.73,525482,135,141.88014,2592,1232655.218,55,"Operating, Expanding",Existing,38.95866473,-77.505071
Loudoun County,Vantage VA 3,VANTAGE DATA CENTERS VA3 LLC/Jeff Tench,43321 DATA DR,2019,29.75,385398,144,104.05746,2764.8,1314832.232,55,"Operating, Expanding",Existing,39.07739352,-77.506165
Loudoun County,Northwoods Property,Amazon Data Services Inc,43649 LIGHT SPEED PLZ,2025,55.18,263340,50,71.1018,960,456538.9696,55,Complete,Existing,38.98071575,-77.493818
Loudoun County,IAD44,Digital Realty,43704 EFFICIENCY DR,2024,18,784204,96,211.73508,1843.2,876554.8217,55,Complete,Existing,38.96118067,-77.490523
Loudoun County,44470 Chilum Place,EQUINIX,44470 CHILUM PL,2022,22.1,"100,121",35,27.03267,672,319577.2787,55,Complete,Existing,39.02220796,-77.461442
Loudoun County,44490 CHILUM PL,BLUE SLING ACC 2 LLC,44490 CHILUM PL,2001,50,"87,560",30,23.6412,576,273923.3818,55,Complete,Existing,39.02134109,-77.458301
Loudoun County,ACC5 ACC6 Digital Realty,FOX PROPERTIES LLC,44521 HASTINGS DR,2019,30.44,"518,449",70,139.98123,1344,639154.5575,55,Complete,Existing,39.02070229,-77.463471
Loudoun County,DBT-DATA ASHBURN HOLDING I,NTT GLOBAL DATA CENTERS AMERICAS INC,44610 GUILFORD DR,2023,4.74,"123,200",40,33.264,768,365231.1757,55,Complete,Existing,39.02489857,-77.457651
Loudoun County,RAGING WIRE VA1,RAGINGWIRE DATA CENTERS INC,44664 GUILFORD DR,2013,7.2,"109,300",40,29.511,768,365231.1757,55,Complete,Existing,39.02266089,-77.454871
Loudoun County,44790 PERFORMANCE CIR,EQUINIX,44790 PERFORMANCE CIR,2017,44.53,"672,244",35,181.50588,672,319577.2787,55,Complete,Existing,39.02357221,-77.450905
Loudoun County,BCORE COPT DC-15,BCORE COPT DC-15 LLC,44862 INTERCONNECTION PL,2016,37.9,"446,732",30,120.61764,576,273923.3818,55,Complete,Existing,39.02639748,-77.451149
Loudoun County,VISA USA INC,VISA USA INC,44901 RUSSELL BRANCH PKWY,2008,41.28,"365,855",2.2,98.78085,42.24,20087.71466,55,Complete,Existing,39.04920476,-77.445568
Loudoun County,GI TC 45360 SEVERN WAY LLC,GI TC 45360 SEVERN WAY LLC,45360 W SEVERN WAY,2016,7.66,"126,900",15,34.263,288,136961.6909,55,Complete,Existing,39.02167671,-77.432917
Loudoun County,MARIES TECH PARK LLC,Amazon Data Services Inc,45761 MARIES RD,2019,19.5,"426,710",20,115.2117,384,182615.5878,55,Complete,Existing,39.02399856,-77.419503
Loudoun County,45845 NOKES BLVD,MEDINA DC 2 ASSETS LLC,45845 NOKES BLVD,2023,6.02,"79,300",20,21.411,384,182615.5878,55,Complete,Existing,39.02386667,-77.415268
Loudoun County,CYXTERA DC2 COLOCATION,MEDINA DC 2 ASSETS LLC,45901 NOKES BLVD,2019,6.24,"89,072",30,24.04944,576,273923.3818,55,Complete,Existing,39.02324816,-77.413183
Loudoun County,NV-8 CYRUSONE,C1 NORTHERN VIRGINIA - STERLING VIII LLC,45905 MARIES RD,2019,9.68,"154,100",24,41.607,460.8,219138.7054,55,Complete,Existing,39.02124555,-77.413366
